Maya knowledge base — patient questions derived from form fields,,,,,,,,,,
"Tier is a routing rule. Answer text is what Maya says — spoken, short, no lists. Filter column C to review one tier at a time.",,,,,,,,,,
NEWLY ADDED CONTENT: Rows shaded light green were added from the patient-experience review.,,,,,,,,,,
ID,Topic,Tier,Canonical question,How patients actually say it,What Maya says,Answer source,Citation,Design note,Orig. row,Green in original?
KB-DIS-02,Distress,T4,I'm sick right now / something is wrong.,I'm in pain · I think I need a doctor,Let's get you help with that first. I'm putting you through to [clinic name] now.,Transfer,[clipped],,144,No
KB-DIS-03,Distress,T4,Patient discloses abuse or being unsafe.,He won't let me · I'm not safe at home,Thank you for telling me. Let me connect you with a person now.,Transfer,[clipped],,145,No
KB-DIS-04,Distress,T4,Patient expresses hopelessness or self-harm.,I don't want to be here anymore,I'm glad you told me. I'm going to connect you with a person right now who can help.,Transfer,[clipped],,146,No
DIGITAL AND BENEFITSCAL SUPPORT — VERIFY LIVE FLOW BEFORE ACTIVATION,,,,,,,,,147,
KB-DIG-01,Digital support,T3,How do I renew online?,Can I do this on the website? · Where do I renew online?,"You can renew online, but I want to make sure you use the right site and steps. Let me connect you with someone who can guide you.",Transfer,UNVERIFIED,,148,No
KB-DIG-02,Digital support,T3,I forgot my BenefitsCal password.,I can't sign in · I forgot my login · My account is locked,"I can get you help with the sign-in problem. I will not ask for your password, so let me connect you with someone who can guide you safely.",Transfer,UNVERIFIED,,149,No
KB-DIG-03,Digital support,T3,Can I upload documents from my phone?,Can I take a picture? · How do I send a photo of my pay stub?,"That may be possible, but I want to give you the correct steps for the system you are using. Let me connect you with someone who can guide you.",Transfer,UNVERIFIED,,150,No
KB-DIG-04,Digital support,T3,I started online but did not finish.,I got halfway through · I saved it and left · Can I continue?,You may be able to continue where you stopped. Let me connect you with someone who can check the online process with you.,Transfer,UNVERIFIED,,151,No
KB-DIG-05,Digital support,T2,What does pending mean online?,It says pending · Is it stuck? · Why is it still processing?,[Read the case status and any outstanding request from the case record.] If that is not available: I want to check the exact status rather […],Case record,UNVERIFIED,,152,No
KB-DIG-06,Digital support,T3,Can someone help me use BenefitsCal?,I need help with the website · Can you walk me through it?,"Yes, help is available. Let me connect you with someone who can guide you through the online steps without asking for your password.",Transfer,UNVERIFIED,,153,No
RENEWAL STATUS AND RE-ENROLLMENT — CASE-SPECIFIC,,,,,,,,,154,
KB-STS-01,Case status,T2,Did the county receive my renewal?,Did they get it? · Was it received? · I already sent it,[Read the received date or submission status from the case record.] If it is not available: I want to confirm that before I answer. Let me get help […],Case record,UNVERIFIED,,155,No
KB-STS-02,Case status,T2,Was my renewal approved?,Am I approved? · Did it go through? · Is my coverage active?,[Read the current case status and effective date from the case record.] If either is missing: I want to confirm the exact status before I answer. Let […],Case record,UNVERIFIED,,156,No
KB-STS-03,Case status,T2,Why is my renewal still processing?,Why is it taking so long? · Is it stuck? · What are they waiting for?,[Read the current status and outstanding county request from the case record.] If no reason is held: I do not want to guess. Let me connect you […],Case record,UNVERIFIED,,157,No
KB-REN-01,Re-enrollment,T3,My Medi-Cal already ended. What do I do?,My coverage stopped · I was discontinued · I lost Medi-Cal,"It may still be fixable, and you do not have to sort it out alone. Let me connect you with someone who can check your case and the right next step.",Transfer,UNVERIFIED,,158,No
KB-REN-02,Re-enrollment,T3,Do I need a new application?,Do I have to start over? · Should I reapply? · Do I need another form?,That depends on where your case is in the process. Let me connect you with someone who can check whether you can finish the renewal or need a new application.,Transfer,UNVERIFIED,,159,No
KB-REN-03,Re-enrollment,T3,What is the fastest way to restore coverage?,How do I get it back quickly? · I need coverage now,I want to help you take the right next step without sending you down the wrong path. Let me connect you with someone who can look at your case now.,Transfer,UNVERIFIED,,160,No
DOCUMENTS AND PROOF — ALTERNATIVES REQUIRE REVIEW,,,,,,,,,161,
KB-DOC-01,Documents,T3,I do not have the requested proof.,I lost my papers · I have no pay stubs · I can't get that document,There may be another document you can use. Let me connect you with someone who can see what the county asked for and help you find an acceptable option.,Transfer,UNVERIFIED,,162,No
KB-DOC-02,Documents,T3,I just started a job and have no pay stub.,I haven't been paid yet · I just got hired,There may be another way to show the new job. Let me connect you with someone who can check what the county will accept for your case.,Transfer,UNVERIFIED,,163,No
KB-DOC-03,Documents,T3,I am paid through a payment app.,I get paid on Cash App · They send my money electronically,"That is important to report, but the right proof depends on your situation. Let me connect you with someone who can help you document it.",Transfer,UNVERIFIED,,164,No
KB-DOC-04,Documents,T3,I lost my identification or it expired.,My ID is expired · I don't have a driver's license · I lost my ID,There may be another document you can use. Let me connect you with someone who can check what is needed and help you find an option.,Transfer,UNV[ERIFIED],,165,No
"OUTREACH, TEXTING, AND CONTACT PREFERENCES",,,,,,,,,166,
KB-OUT-01,Outreach,T1,Why am I getting a text message?,Why did you text me? · Is this message from my clinic?,"The message is from [clinic name] about your Medi-Cal renewal. If you would rather verify it, contact the clinic using the number you already know.",Static,UNVE[RIFIED],,167,No
KB-OUT-02,Outreach,T3,Can I complete my renewal by text?,Can we do this in messages? · Can I send everything by text?,I do not want you to send private documents or account information until we confirm the approved way. Let me connect you with someone who can help.,Transfer,UNVE[RIFIED],,168,No
KB-OUT-03,Outreach,T3,Can I send documents by text?,Can I text a picture? · Can I reply with my pay stub?,Please do not send a document in this message. Let me connect you with someone who can give you an approved way to send it.,Transfer,UNVER[IFIED],,169,No
KB-OUT-04,Outreach,T2,Can you call me at a better time?,Call after work · Try me tomorrow · I am busy now,"[Offer only callback times supported by the scheduling system.] Here you can ask for their preferable time within 9 to 5, or call the clinic at 707-555-0142.",Case record,"Operational: callback 9-5, clinic line 707-555-0142",,170,No
KB-OUT-05,Outreach,T3,Can you call my spouse or family member instead?,Talk to my daughter · Call my husband · Call my caregiver,We need to make sure we have your permission before discussing your renewal with someone else. Let me connect you with a person who can set that up correctly.,Transfer,UNVERI[FIED],,171,No
KB-OUT-06,Outreach,T1,What if I miss your call?,I can't answer at work · Will you leave a message?,"That is okay. You can call [clinic line] when you are ready, or we can arrange another time if that option is available.",Static,UNVERIF[IED],,172,No
LANGUAGE AND ACCESSIBILITY SUPPORT,,,,,,,,,173,
KB-LNG-01,Language access,T3,I need an interpreter.,Can I have an interpreter? · I need another language,"Yes, language help is free. Let me connect you with an interpreter or a person who can arrange one.",Transfer,MC 216 p.[…],,174,No
KB-LNG-02,Language access,T3,Do you speak Mixteco or Zapoteco?,I speak Mixtec · I need Zapotec · I do not speak Spanish,I want to make sure you get help in the language you prefer. Let me connect you with an interpreter service rather than continue in a language that has not been verified.,Transfer,UNVERIFIE[D],,175,No
KB-LNG-03,Language access,T3,Can my family member interpret for me?,My daughter can translate · My son speaks English,"You can have someone support you, but free interpreter help is also available. Let me connect you with a person who can arrange the safest option.",Transfer,UNVERIFIE[D],,176,No
KB-ACC-01,Accessibility,T3,I have trouble reading or completing forms.,I can't read this · Paperwork is hard for me · Please explain it,You do not have to do it alone. Let me connect you with someone who can go through the form with you in the way that works best for you.,Transfer,"MC 216 p.1, […]",,177,No
KB-ACC-02,Accessibility,T3,I use a screen reader or need another format.,The website is not accessible · I need audio · I need large print,Accessible help and other formats are available. Let me connect you with someone who can arrange the format or support you need.,Transfer,"MC 216 p.1, […]",,178,No
APPOINTMENTS AND LIVE SUPPORT — CONFIGURATION REQUIRED,,,,,,,,,179,
KB-APT-01,Appointments,T2,Can I make an appointment?,Book me a time · I want help in person · Can someone see me?,[Offer only appointments returned by the scheduling system.] I can help arrange a time with a counsellor who can work through the renewal with […],Case record,UNVERIFIED,,180,No
KB-APT-02,Appointments,T2,Where is the nearest place to get help?,Which clinic is closest? · Where do I go?,"[Read the configured clinic location and approved service details.] I want to give you the right location, so let me confirm it before you travel.",Case record,UNVERIFIED,,181,No
KB-APT-03,Appointments,T3,Can I walk in or get evening help?,Do I need an appointment? · Are you open late? · Can I come today?,That depends on the clinic and the day. Let me connect you with someone who can give you the current options.,Tr[ansfer],[clipped],,182,No
KB-APT-04,Appointments,T3,Can I get help by video?,Can we do a video visit? · Can someone help me online?,That may be available through your clinic. Let me connect you with someone who can tell you the current options.,Tr[ansfer],[clipped],,183,No
KB-APT-05,Appointments,T3,How long will the appointment take?,How much time do I need? · Will this take all day?,The time depends on what needs to be updated. Let me connect you with someone who can help you choose the right appointment.,Tr[ansfer],[clipped],,184,No
COMMON COMPLETION MISTAKES — PROACTIVE COACHING,,,,,,,,,185,
KB-COA-01,Coaching,T1,What should I check before I send it?,How do I make sure it is complete? · What do people forget?,"Make sure the information is current, include the proof the county requested, and sign the form. I can go through those one at a time with you.",Sta[tic],[clipped],,186,No
KB-COA-02,Coaching,T1,What income amount should I use?,Do I use take-home pay? · Which number from my pay stub?,Use the amount before taxes or deductions. I will repeat the amount back so we can make sure I heard it correctly.,Stat[ic],[clipped],,187,No
KB-COA-03,Coaching,T1,Why should I update my address?,Does my address matter? · I still get some mail there,The county uses your address to send important notices. Keeping it current helps prevent missed requests and coverage problems.,Stat[ic],[clipped],,188,No
HEALTH PLAN AND MEMBER SERVICES ROUTING,,,,,,,,,189,
KB-MBR-01,Member services,T3,How do I choose or change my doctor or health plan?,I want another doctor · Can I switch plans? · Who is my doctor?,That is handled by your health plan or member services. Let me connect you with the right place for your coverage.,Trans[fer],[clipped],,190,No
KB-MBR-02,Member services,T3,Can I get transportation to an appointment?,I need a ride · How do I get to the doctor?,Transportation help may be available through your health plan. Let me connect you with the right place to check your options.,Trans[fer],[clipped],,191,No
KB-MBR-03,Member services,T3,"What dental, prescription, or other services are covered?",Do I get dental? · Is my medicine covered? · What benefits do I have?,Coverage details depend on your plan and situation. Let me connect you with the right person to check the exact benefit.,Trans[fer],[clipped],,192,No
