Maya knowledge base — patient questions derived from form fields,,,,,,,,
"Tier is a routing rule. Answer text is what Maya says — spoken, short, no lists. Filter column C to review one tier at a time.",,,,,,,,
,,,,,,,,
ID,Topic,Tier,Canonical question,How patients actually say it,What Maya says,Answer source,Citation,Design note
KB-IMM-01,Immigration,T4,Will this affect my green card or my status?,Public charge · Will it hurt my case? · Will it stop my papers?,That's a really important question and I'm not the right one to answer it. Let me get you to a specialist right now — they do this every day and it's confidential.,Transfer,—,"HARD STOP. No reassurance, no partial answer, no 'generally speaking'. A wrong answer here can stop a family seeking care for years."
KB-IMM-02,Immigration,T4,Will you tell immigration about me?,Does ICE see this? · Will they find out?,I understand why you're asking. I want you to hear that from a person rather than from me — let me put you through now.,Transfer,—,"HARD STOP even though the forms do contain relevant statements. Maya must not paraphrase them, because near-misses are what cause harm."
KB-IMM-03,Immigration,T4,Can I apply if I don't have papers?,I'm undocumented · I don't have status,Let me get you to a specialist who can answer that properly and confidentially.,Transfer,—,"HARD STOP. Do not confirm or deny eligibility, and do not record the disclosure in any field Maya controls."
KB-IMM-04,Immigration,T4,My kids are citizens but I'm not.,Only my children have status,That comes up a lot and there is help for it. Let me get you to someone who can go through it with you.,Transfer,—,HARD STOP. Mixed-status household. Even the sympathetic version of this answer is out of bounds for a voice agent.
KB-IMM-05,Immigration,T4,My status changed this year. What do I put?,I got my green card · I have a new document number,"There is a question about that on the form, and I want a person to help you with it. Let me put you through.",Transfer,MC 216 p.12,HARD STOP despite a field existing. Naming the field is the most Maya may do.
KB-IMM-06,Immigration,T4,Is it safe for me to fill this in?,Should I even do this? · Is it risky?,I want to make sure you get a proper answer to that. Let me get you to a specialist — it's free and confidential.,Transfer,—,HARD STOP. The question sounds procedural and is not.
"ELIGIBILITY DETERMINATIONS — T3/T4, NEVER ANSWERED",,,,,,,,
KB-ELG-01,Eligibility,T3,Will I qualify?,Am I eligible? · Do I get it?,That's the county's decision and I don't want to guess about something this important. Let me get you to someone who can look at your case.,Transfer,—,"No hedged version of this is acceptable, including 'you probably will'."
KB-ELG-02,Eligibility,T3,What's the income limit?,How much can I make? · What's the cut-off?,The limits depend on your household and change over time. Let me get you to a specialist rather than give you a number that might be wrong.,Transfer,UNVERIFIED,Maya must never speak a figure. Limits change annually and vary by programme and household size.
KB-ELG-03,Eligibility,T3,Will I have to pay a share of cost?,What's this share of cost? · Do I owe money each month?,A share of cost can appear for some people and it's often fixable. Let me get you to a specialist — this one is worth a proper look.,Transfer,—,"An unexpected share of cost is frequently an income-discrepancy artifact. High-value transfer, not a dead end."
KB-ELG-04,Eligibility,T3,Why did my coverage change to emergency only?,They said restricted · I can only use the ER now,That's a change in the type of coverage and it's usually worth challenging or correcting. Let me get you to a specialist.,Transfer,—,"Scope downgrade, Segment D. Patients rarely notice this until they are refused care."
KB-ELG-05,Eligibility,T3,Should I apply for Covered California instead?,Am I better off with the marketplace?,That depends on your situation and I don't want to steer you wrong. Let me get you to a counsellor who handles both.,Transfer,—,Note several Aliados sites are Medi-Cal and CalFresh only and cannot assist with Covered California. Routing must check site capability.
KB-ELG-06,Eligibility,T3,How much will my medicine cost?,Do I have a copay? · What does it cover?,Coverage details are best answered by your plan or a counsellor. Let me get you to the right person.,Transfer,—,"Benefit design, not eligibility, but equally out of scope."
"DISTRESS AND CLINICAL — T4, WORKFLOW STOPS",,,,,,,,
KB-DIS-01,Distress,T4,I can't afford my medication.,I ran out of my insulin · I can't pay for my pills,That matters more than this form. Let me get you to someone at [clinic name] right now who can help with that.,Transfer,—,"WORKFLOW BREAKS. Renewal is set aside. Member centre engaged, not the enrolment counsellor."
KB-DIS-02,Distress,T4,I'm sick right now / something is wrong.,I'm in pain · I think I need a doctor,Let's get you help with that first. I'm putting you through to [clinic name] now.,Transfer,—,WORKFLOW BREAKS. Never triage clinically and never continue the renewal script.
KB-DIS-03,Distress,T4,Patient discloses abuse or being unsafe.,He won't let me · I'm not safe at home,Thank you for telling me. Let me connect you with a person now.,Transfer,—,"WORKFLOW BREAKS. Do not ask follow-up questions. Note the forms provide SSN and status exceptions for abuse, trafficking and crime witnesses — a person handles that, never Maya."
KB-DIS-04,Distress,T4,Patient expresses hopelessness or self-harm.,I don't want to be here anymore,I'm glad you told me. I'm going to connect you with a person right now who can help.,Transfer,—,"WORKFLOW BREAKS. Highest-priority escalation path in the product. Needs a defined, staffed, tested route before launch — not a queue."
